season_id,pitcher_id,pitch_hand,pitch_type,arm_angle,horiz_movement,vert_movement
2025,677960,L,CH,41.5,12.50531914893617,2.7090425531914892
2025,677960,L,FF,41.5,9.320629370629371,16.03076923076923
2025,677960,L,ST,41.5,-9.775833333333333,1.2266666666666668
2025,678020,R,FF,44.3,10.421676300578035,12.863872832369943
2025,678020,R,SL,44.3,-3.465873015873016,0.8714285714285716
2025,678022,R,CH,29.3,13.504545454545454,0.11666666666666664
2025,678022,R,FC,29.3,1.006741573033708,8.289887640449438
2025,678022,R,FF,29.3,11.53320895522388,14.157089552238807
2025,678022,R,ST,29.3,-12.358851674641148,2.7942583732057416
2025,678024,R,CH,30.2,12.522499999999999,0.4395000000000001
2025,678024,R,CU,30.2,-10.12512315270936,-13.926108374384237
2025,678024,R,FC,30.2,-1.6755555555555557,2.328888888888889
2025,678024,R,FF,30.2,6.342857142857143,12.87056277056277
2025,678024,R,SI,30.2,14.55814307458143,4.569558599695586
2025,678024,R,ST,30.2,-16.5188679245283,-3.4679245283018867
2025,678215,R,FF,36.6,9.44915254237288,16.938983050847458
2025,678215,R,SL,36.6,-4.58125,3.9718750000000003
2025,678226,R,FF,40.8,8.817777777777778,16.12984126984127
2025,678226,R,SL,40.8,-2.7514925373134327,0.893034825870647
2025,678316,L,FF,49,10.824,17.824
2025,678368,R,CH,45.5,15.973821989528796,4.734031413612565
2025,678368,R,CU,45.5,-13.280952380952382,-7.549206349206349
2025,678368,R,FC,45.5,-5.108423326133909,9.051619870410367
2025,678368,R,FF,45.5,3.368157894736842,17.46157894736842
2025,678368,R,ST,45.5,-14.793034825870647,3.609452736318408
2025,678394,R,CH,32.8,16.041161616161617,4.523902439024391
2025,678394,R,FC,32.8,-0.8723404255319149,2.5879432624113474
2025,678394,R,FF,32.8,7.6589285714285715,13.514950980392157
2025,678394,R,SI,32.8,16.902569593147753,5.660233297985154
2025,678394,R,ST,32.8,-9.90907258064516,-3.184405458089669
2025,678495,R,FF,39.6,5.436160714285714,18.2390625
